title,article,category,price,availability,description,details,images,url
MC rack kit,,Аксессуары Linea Research,0,Наличие:В наличии,"Описание Комплект задних рэковых креплений для усилителей M и C. Если усилитель установлен в мобильной стойке, важно, чтобы задняя часть поддерживалась этим монтажным комплектом.",Производитель: Linea Research | Наименование: <h3>MC rack kit</h3> | Партномер: <h3>ZA1182</h3>,https://risbar.kz/wp-content/uploads/product/mc-rack-kit-1.JPG,https://risbar.kz/product/mc-rack-kit/
PowerCon 32A,,Аксессуары Linea Research,0,Наличие:В наличии,"Описание Разъем питания, Neutrik PowerCon, 32A.",Производитель: Linea Research | Наименование: <h3>PowerCon 32A</h3> | Партномер: <h3>JC1111</h3>,https://risbar.kz/wp-content/uploads/product/powercon-32a-1.jpg,https://risbar.kz/product/powercon-32a/
XiB rack kit,,Аксессуары Linea Research,0,Наличие:В наличии,Описание Задние рэковые крепления для усилителей серии XiB.,Производитель: Linea Research | Наименование: <h3>XiB rack kit</h3> | Партномер: <h3>ZA1125</h3>,,https://risbar.kz/product/xib-rack-kit/
