title,article,category,price,availability,description,details,images,url
CX-RG213/U-PVC,,Коаксиальные кабели,0,Наличие:В наличии,"Описание CX-RG213/U-PVC – коаксиальный кабель 50 Ом, внешний диаметр 10,15 мм², оплётка PVC, цвет черный, катушка 100 м Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Коаксиальный кабель, используется для передачи радиосигналов от антенн к приёмникам радиосистем. Применяется для укладки в кабельные магистрали, и подключения источников радиосигналов к приёмникам. Поставляется на катушках в намотке по 100-200 м. Испытания Огнестойкость: IEC 60332-1-2; VDE 0482-332-1-2; EN 60332-1-2","Производитель: Triokablo | Наименование: <h3>CX-RG213/U-PVC</h3> | Партномер: <h3>CX-RG213/U-PVC</h3> | Проводник: 7×0,75 мм Ø многожильный медный провод | Изоляция: 7,25 мм Ø твёрдый полиэтилен | Экран: 90% Оплётка из медной проволоки | Оболочка: EN 50290-2-22 ПВХ компаунд <br>Цвет оболочки: RAL 9005 чёрный | Рабочее напряжение: 5000 В | Напряжение испытания: 10000 В | Радиус изгиба: 15XD мм | Диапазон температур: -30°C – +70°C | Скорость  распространения: 66% | Сопротивление  изоляции: 2000 МОм×км | Ёмкость: 101 нФ/км | Импеданс: 50±3 Ом | Внешний  диаметр: 4,95 мм | Расчётная масса кабеля: 37 кг/км",https://risbar.kz/wp-content/uploads/product/cx-rg213u-pvc-1.png,https://risbar.kz/product/cx-rg213u-pvc/
CX-RG58-C/U-HF,,Коаксиальные кабели,0,Наличие:В наличии,"Описание CX-RG58-C/U-HF – коаксиальный кабель 50 Ом, внешний диаметр 4,95 мм², безгалогеновая оплётка (HF — Halogen Free), цвет серый, катушка 100 м. Стоимость указана за 1 метр Кабель продается бухтой, длина 100 метров Коаксиальный кабель, используется для передачи радиосигналов от антенн к приёмникам радиосистем. Применяется для укладки в кабельные магистрали, и подключения источников радиосигналов к приёмникам. Поставляется на катушках в намотке по 100-200 м. Испытания Огнестойкость: IEC 60332-1-2; VDE 0482-332-1-2 EN 60332-1-2 Распространение пламени: IEC 60332-3-24; VDE 0482-332-3-24 EN 60332-3-24 Плотность дыма IEC 61034-2; VDE 0482-1034-2 EN 61034-2 Коррозионный газ IEC 60754-2; VDE 0482-267-2-3 EN 50267-2-3 Отсутствие галогенов IEC 60754-1; VDE 0482-267-2-1 EN 50267-2-1","Производитель: Triokablo | Наименование: <h3>CX-RG58-C/U-HF</h3> | Партномер: <h3>CX-RG58-C/U-HF</h3> | Проводник: Многожильная лужёная медь | Изоляция: Твёрдый полиэтилен | Экран: Оплётка из лужёной меди | Оболочка: EN 50290-2-27 HFFR компаунд <br>Цвет оболочки: RAL 9005 чёрный | Рабочее напряжение: 2000 В | Напряжение испытания: 5000 В | Радиус изгиба: 15XD мм | Диапазон температур: -40°C – +70°C | Скорость  распространения: 66% | Сопротивление  изоляции: 2000 МОм×км | Ёмкость: 101 нФ/км | Импеданс: 50±3 Ом | Внешний  диаметр: 4,95 мм | Расчётная масса кабеля: 37 кг/км",https://risbar.kz/wp-content/uploads/product/cx-rg58-cu-hf-1.png,https://risbar.kz/product/cx-rg58-cu-hf/
