title,article,category,price,availability,description,details,images,url
LBC3011/41,,Панельные громкоговорители,0,Наличие:В наличии,"Описание Воспроизведение речи и музыки высокого качества Двусторонняя система Простая настройка мощности Утопленный монтаж в стены, потолки или мебель Боксы для установки на поверхность и для утопленного монтажа Панель на 9 Вт (макс. мощность) оснащена высокочастотным и низкочастотным динамиками и обеспечивает безупречное воспроизведение речи и музыки. Они выпускаются со встроенным регулятором громкости и без него (LBC 3011/51 и LBC 3011/41, соответственно). Номинальная выходная мощность может быть установлена на полный уровень, половину или четверть уровня (с шагом 3 дБ) путем подключения линии 100 В к соответствующему ответвлению первичной обмотки на согласующем трансформаторе через 3-контактный винтовой соединитель. Панели кремового цвета (RAL 9010) сделаны из литого самозатухающего ударопрочного пластика ABS (в соответствии с UL 94V0). Они покрыты перфорированной металлической решеткой элегантного внешнего вида. Панельный громкоговоритель устанавливается заподлицо в прямоугольный профиль, проделанный в стене, потолке мебели или специальном шкафу. Панели предусматривают возможность установки дополнительного модуля контроля линии/громкоговорителя с тыльной стороны. Громкоговоритель имеет встроенную защиту, обеспечивающую сохранность цепи, к которой он подключен, даже в случае возникновения повреждений громкоговорителя при пожаре. Это позволяет сохранить целостность системы и работоспособность других громкоговорителей, которые могут использоваться для информирования людей о ситуации. Громкоговоритель имеет керамическую клеммную колодку, термальный предохранитель, а также проводку, устойчивую к воздействию высоких температур.",Производитель: Bosch | Наименование: <h3>LBC3011/41</h3> | Партномер: <h3>F01U505950</h3>,https://risbar.kz/wp-content/uploads/product/lbc301141-1.jpg,https://risbar.kz/product/lbc301141/
LBC3011/51,,Панельные громкоговорители,0,Наличие:В наличии,"Описание Панель на 9 Вт (макс. мощность) оснащена высокочастотным и низкочастотным динамиками и обеспечивает безупречное воспроизведение речи и музыки. Они выпускаются со встроенным регулятором громкости и без него (LBC 3011/51 и LBC 3011/41, соответственно). Номинальная выходная мощность может быть установлена на полный уровень, половину или четверть уровня (с шагом 3 дБ) путем подключения линии 100 В к соответствующему ответвлению первичной обмотки на согласующем трансформаторе через 3-контактный винтовой соединитель. Панели кремового цвета (RAL 9010) сделаны из литого самозатухающего ударопрочного пластика ABS (в соответствии с UL 94V0). Они покрыты перфорированной металлической решеткой элегантного внешнего вида. Панельный громкоговоритель устанавливается заподлицо в прямоугольный профиль, проделанный в стене, потолке мебели или специальном шкафу. Панели предусматривают возможность установки дополнительного модуля контроля линии/громкоговорителя с тыльной стороны. Громкоговоритель имеет встроенную защиту, обеспечивающую сохранность цепи, к которой он подключен, даже в случае возникновения повреждений громкоговорителя при пожаре. Это позволяет сохранить целостность системы и работоспособность других громкоговорителей, которые могут использоваться для информирования людей о ситуации. Громкоговоритель имеет керамическую клеммную колодку, термальный предохранитель, а также проводку, устойчивую к воздействию высоких температур.",Производитель: Bosch | Наименование: <h3>LBC3011/51</h3> | Партномер: <h3>F01U505954</h3>,https://risbar.kz/wp-content/uploads/product/lbc301151-1.jpg,https://risbar.kz/product/lbc301151/
LBC3012/01,,Панельные громкоговорители,0,Наличие:В наличии,Описание Bosch LBC 3012/01 — корпус для монтажа LBC 3011/41 и LBC 3011/51 на твердых поверхностях.,Производитель: Bosch | Наименование: <h3>LBC3012/01</h3> | Партномер: <h3>F01U505955</h3>,https://risbar.kz/wp-content/uploads/product/lbc301201-1.jpg,https://risbar.kz/product/lbc301201/
LBC3013/01,,Панельные громкоговорители,0,Наличие:В наличии,Описание Bosch LBC 3013/01 — корпус для монтажа LBC 3011/41 и LBC 3011/51 в стены заподлицо.,Производитель: Bosch | Наименование: <h3>LBC3013/01</h3> | Партномер: <h3>F01U004396</h3>,https://risbar.kz/wp-content/uploads/product/lbc301301-1.jpg,https://risbar.kz/product/lbc301301/
