title,article,category,price,availability,description,details,images,url
DCN-FCCCU,,Кейсы для хранения и транспортировки,0,Наличие:В наличии,"Описание Прочная конструкция с укрепленными углами Удобство переноски и хранения Внутренняя часть, адаптированная к форме приборов Вмещает до двух 19″ блоков Транспортировочный кейс DCN-FCCCU вмещает два 19″ устройства, например, 1 центральный блок управления DCN-CCU2 + 1 передатчик или 1 аудиоэкспандер PRS-4DEX4.",Производитель: Bosch | Наименование: <h3>DCN-FCCCU</h3> | Партномер: <h3>F01U026707</h3> | Размеры (В x Ш x Д): 510 x 460 x 290 мм | Вес: 6 кг | Цвет: Светло-серый,https://risbar.kz/wp-content/uploads/product/dcn-fcccu-1.jpg,https://risbar.kz/product/dcn-fcccu/
DCN-TCD,,Кейсы для хранения и транспортировки,0,Наличие:В наличии,Описание Вмещает 10 (беспроводных) дискуссионных пультов и 10 сменных микрофонов Наполнитель из вспененного полимера упрощает упаковку Роликовые колеса для удобной транспортировки Простота упаковки и распаковки устройств Удобство переноски и хранения Транспортировочный кейс DCN-TCD для микрофонных пультов DCN вмещает 10 устройств со сменными микрофонами.,Производитель: Bosch | Наименование: <h3>DCN-TCD</h3> | Партномер: <h3>F01U305145</h3> | Размеры (В x Ш x Д): 318 x 801 x 529 мм | Вес: 11 кг | Цвет: Черный,https://risbar.kz/wp-content/uploads/product/dcn-tcd-1.jpg,https://risbar.kz/product/dcn-tcd/
